Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
374.0000         0.4127       0.2932       0.1195   924.4
375.0000         0.4127       0.3060       0.1068   826.1
376.0000         0.4127       0.2744       0.1383  1070.1
377.0000         0.4127       0.2773       0.1354  1047.9
378.0000         0.4126       0.2908       0.1218   942.1
379.0000         0.4126       0.2949       0.1177   910.5
380.0000         0.4127       0.2895       0.1232   953.3
381.0000         0.4125       0.2561       0.1564  1210.1
382.0000         0.4125       0.2509       0.1617  1250.7
383.0000         0.4128       0.2785       0.1343  1039.3
384.0000         0.4127       0.2876       0.1250   967.3
385.0000         0.4126       0.2640       0.1486  1149.4
386.0000         0.4126       0.2893       0.1233   953.7
387.0000         0.4126       0.2533       0.1593  1232.2
388.0000         0.4127       0.2882       0.1245   963.4
389.0000         0.4126       0.2803       0.1323  1023.3
390.0000         0.4128       0.2795       0.1333  1031.1
391.0000         0.4127       0.2958       0.1169   904.7
392.0000         0.4126       0.2569       0.1558  1205.1
393.0000         0.4127       0.2644       0.1483  1147.3
394.0000         0.4126       0.2714       0.1412  1092.2
395.0000         0.4129       0.2835       0.1294  1001.0
396.0000         0.4128       0.2748       0.1380  1067.4
397.0000         0.4127       0.2597       0.1531  1184.1
398.0000         0.4126       0.2532       0.1595  1233.6
399.0000         0.4126       0.2629       0.1497  1157.8
400.0000         0.4125       0.2407       0.1718  1329.4
401.0000         0.4126       0.2595       0.1531  1184.4
402.0000         0.4128       0.2691       0.1437  1111.5
403.0000         0.4126       0.2651       0.1476  1141.8
404.0000         0.4127       0.2751       0.1376  1064.5
405.0000         0.4125       0.2655       0.1470  1137.5
406.0000         0.4126       0.2601       0.1525  1179.5
407.0000         0.4127       0.2714       0.1413  1093.4
408.0000         0.4127       0.2848       0.1279   989.8
409.0000         0.4126       0.2623       0.1503  1162.8
410.0000         0.4127       0.2793       0.1334  1032.0
411.0000         0.4126       0.2706       0.1420  1098.6
412.0000         0.4126       0.2766       0.1360  1051.8
413.0000         0.4127       0.2714       0.1413  1092.9
414.0000         0.4126       0.2670       0.1456  1126.7
415.0000         0.4127       0.2711       0.1416  1095.5
416.0000         0.4127       0.2665       0.1462  1130.9
417.0000         0.4126       0.2653       0.1472  1139.1
418.0000         0.4127       0.2526       0.1601  1238.5
419.0000         0.4126       0.2588       0.1538  1190.0
420.0000         0.4128       0.2694       0.1433  1109.0
421.0000         0.4126       0.2666       0.1460  1129.3
422.0000         0.4126       0.2591       0.1536  1188.2
423.0000         0.4127       0.2734       0.1393  1077.4
424.0000         0.4126       0.2692       0.1435  1110.1
425.0000         0.4126       0.2617       0.1509  1167.7
426.0000         0.4125       0.2581       0.1544  1194.5
427.0000         0.4126       0.2539       0.1586  1227.3
428.0000         0.4125       0.2539       0.1587  1227.5
429.0000         0.4127       0.2735       0.1391  1076.4
430.0000         0.4127       0.2709       0.1418  1097.3
431.0000         0.4125       0.2597       0.1528  1182.3
432.0000         0.4127       0.2658       0.1468  1136.0
433.0000         0.4128       0.2879       0.1248   965.7
434.0000         0.4127       0.2779       0.1348  1042.8
435.0000         0.4125       0.2451       0.1674  1295.1
436.0000         0.4125       0.2630       0.1495  1156.3
437.0000         0.4126       0.2644       0.1483  1147.1
438.0000         0.4126       0.2748       0.1379  1066.6
439.0000         0.4127       0.2762       0.1365  1056.1
440.0000         0.4127       0.2765       0.1362  1053.9
441.0000         0.4127       0.2709       0.1418  1097.3
442.0000         0.4127       0.2835       0.1292   999.8
443.0000         0.4126       0.2726       0.1400  1083.4
444.0000         0.4128       0.2973       0.1155   893.2
445.0000         0.4125       0.2763       0.1362  1053.4
