# this is for gemnet-dT! no energy drift it seems
Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
383.0000         0.3934       0.2905       0.1029   795.8
384.0000         0.3934       0.2720       0.1214   939.5
385.0000         0.3935       0.2917       0.1018   787.8
386.0000         0.3933       0.2582       0.1350  1044.7
387.0000         0.3935       0.2923       0.1012   783.0
388.0000         0.3934       0.2738       0.1196   925.3
389.0000         0.3934       0.2895       0.1039   803.7
390.0000         0.3934       0.2877       0.1057   817.8
391.0000         0.3934       0.2852       0.1083   837.5
392.0000         0.3934       0.2785       0.1150   889.6
393.0000         0.3934       0.2887       0.1047   810.2
394.0000         0.3933       0.2857       0.1076   832.7
395.0000         0.3934       0.2858       0.1076   832.5
396.0000         0.3934       0.2790       0.1143   884.5
397.0000         0.3934       0.2892       0.1042   806.0
398.0000         0.3934       0.2884       0.1050   812.4
399.0000         0.3934       0.2872       0.1062   821.7
400.0000         0.3934       0.2709       0.1225   947.4
401.0000         0.3934       0.2711       0.1223   946.3
402.0000         0.3935       0.2990       0.0944   730.5
403.0000         0.3933       0.2746       0.1187   918.3
404.0000         0.3933       0.2858       0.1074   831.1
405.0000         0.3933       0.2767       0.1166   902.1
406.0000         0.3934       0.2887       0.1048   810.4
407.0000         0.3932       0.2674       0.1259   973.8
408.0000         0.3935       0.3083       0.0852   659.0
409.0000         0.3934       0.2782       0.1153   891.9
410.0000         0.3935       0.2608       0.1327  1026.6
411.0000         0.3936       0.2706       0.1229   951.1
412.0000         0.3934       0.2721       0.1213   938.6
413.0000         0.3934       0.2746       0.1188   919.3
414.0000         0.3935       0.2826       0.1108   857.5
415.0000         0.3934       0.2585       0.1349  1043.3
416.0000         0.3934       0.2742       0.1192   922.4
417.0000         0.3934       0.2707       0.1227   949.4
418.0000         0.3933       0.2623       0.1311  1013.9
419.0000         0.3934       0.2719       0.1215   940.1
420.0000         0.3934       0.2603       0.1331  1029.8
421.0000         0.3934       0.2846       0.1088   841.6
422.0000         0.3933       0.2635       0.1299  1004.8
423.0000         0.3934       0.2727       0.1207   933.8
424.0000         0.3933       0.2645       0.1288   996.4
425.0000         0.3934       0.2787       0.1147   887.4
